苏州频道,#genre#
CETV1HD,http://112.86.202.37:8112/JSBC_iptv/C10000173@JSBC

江苏频道,#genre#
江苏卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000015@JSBC
江苏城市HD,http://112.86.202.37:8112/JSBC_iptv/C10000224@JSBC
江苏公共新闻HD,http://112.86.202.37:8112/JSBC_iptv/C10000229@JSBC
江苏教育HD,http://112.86.202.37:8112/JSBC_iptv/C10000231@JSBC
江苏体育休闲HD,http://112.86.202.37:8112/JSBC_iptv/C10000226@JSBC
江苏影视HD,http://112.86.202.37:8112/JSBC_iptv/C10000227@JSBC
江苏综艺HD,http://112.86.202.37:8112/JSBC_iptv/C10000225@JSBC

卫视(联通),#genre#
凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8
湖南卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000043@JSBC
浙江卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000044@JSBC
东方卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000045@JSBC
北京卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000046@JSBC
北京纪实HD,http://112.86.202.37:8112/JSBC_iptv/C10000193@JSBC
广东卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000047@JSBC
深圳卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000048@JSBC
安徽卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000192@JSBC
河南卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000185@JSBC
黑龙江卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000050@JSBC
山东卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000049@JSBC
湖北卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000051@JSBC
天津卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000052@JSBC
重庆卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000053@JSBC
四川卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000167@JSBC
江西卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000168@JSBC
东南卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000169@JSBC
吉林卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000170@JSBC
贵州卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000171@JSBC
河北卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000172@JSBC
辽宁卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000141@JSBC
广西卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000198@JSBC
海南卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000200@JSBC
云南卫视HD,http://112.86.202.37:8112/JSBC_iptv/C10000202@JSBC
陕西卫视,http://112.86.202.37:8112/JSBC_iptv/C10000177@JSBC
南方卫视,http://112.86.202.37:8112/JSBC_iptv/C10000178@JSBC
西藏卫视,http://112.86.202.37:8112/JSBC_iptv/C10000184@JSBC
宁夏卫视,http://112.86.202.37:8112/JSBC_iptv/C10000163@JSBC
甘肃卫视,http://112.86.202.37:8112/JSBC_iptv/C10000164@JSBC
新疆卫视,http://112.86.202.37:8112/JSBC_iptv/C10000165@JSBC

央视精品,#genre#
电视指南HD,http://112.86.202.37:8112/JSBC_iptv/C10000203@JSBC
风云足球HD,http://112.86.202.37:8112/JSBC_iptv/C10000204@JSBC
高尔夫网球HD,http://112.86.202.37:8112/JSBC_iptv/C10000205@JSBC
世界地理HD,http://112.86.202.37:8112/JSBC_iptv/C10000206@JSBC
兵器科技HD,http://112.86.202.37:8112/JSBC_iptv/C10000207@JSBC
风云剧场HD,http://112.86.202.37:8112/JSBC_iptv/C10000208@JSBC
风云音乐HD,http://112.86.202.37:8112/JSBC_iptv/C10000211@JSBC
女性时尚HD,http://112.86.202.37:8112/JSBC_iptv/C10000212@JSBC
央视精品HD,http://112.86.202.37:8112/JSBC_iptv/C10000209@JSBC
央视怀旧剧场HD,http://112.86.202.37:8112/JSBC_iptv/C10000210@JSBC
优漫卡通HD,http://112.86.202.37:8112/JSBC_iptv/C10000228@JSBC
金鹰纪实HD,http://112.86.202.37:8112/JSBC_iptv/C10000187@JSBC
茶HD,http://112.86.202.37:8112/JSBC_iptv/C10000160@JSBC
快乐垂钓HD,http://112.86.202.37:8112/JSBC_iptv/C10000142@JSBC
精彩推荐HD,http://112.86.202.37:8112/JSBC_iptv/C10000118@JSBC
先锋乒羽,http://112.86.202.37:8112/JSBC_iptv/C10000159@JSBC
山东教育卫视,http://112.86.202.37:8112/JSBC_iptv/C10000180@JSBC
CETV2,http://112.86.202.37:8112/JSBC_iptv/C10000098@JSBC
空中课堂,http://112.86.202.37:8112/JSBC_iptv/C10000101@JSBC
直播间1,http://112.86.202.37:8112/JSBC_iptv/C10000151@JSBC
直播间2,http://112.86.202.37:8112/JSBC_iptv/C10000152@JSBC
搏击俱乐部,http://112.86.202.37:8112/JSBC_iptv/C10000116@JSBC
全纪录,http://112.86.202.37:8112/JSBC_iptv/C10000115@JSBC
游戏达人,http://112.86.202.37:8112/JSBC_iptv/C10000082@JSBC
金庸武侠,http://112.86.202.37:8112/JSBC_iptv/C10000068@JSBC
生活剧场,http://112.86.202.37:8112/JSBC_iptv/C10000069@JSBC
随音听乐,http://112.86.202.37:8112/JSBC_iptv/C10000076@JSBC
娱乐秀场,http://112.86.202.37:8112/JSBC_iptv/C10000075@JSBC
体坛风云,http://112.86.202.37:8112/JSBC_iptv/C10000081@JSBC
举案说法,http://112.86.202.37:8112/JSBC_iptv/C10000077@JSBC
谈股论金,http://112.86.202.37:8112/JSBC_iptv/C10000086@JSBC
时尚女人,http://112.86.202.37:8112/JSBC_iptv/C10000083@JSBC
铁血军事,http://112.86.202.37:8112/JSBC_iptv/C10000073@JSBC
史海钩沉,http://112.86.202.37:8112/JSBC_iptv/C10000079@JSBC
寰宇纪实,http://112.86.202.37:8112/JSBC_iptv/C10000080@JSBC
养生,http://112.86.202.37:8112/JSBC_iptv/C10000084@JSBC
看新闻吧,http://112.86.202.37:8112/JSBC_iptv/C10000072@JSBC
火爆片场,http://112.86.202.37:8112/JSBC_iptv/C10000071@JSBC
华语片场,http://112.86.202.37:8112/JSBC_iptv/C10000070@JSBC
超炫动漫,http://112.86.202.37:8112/JSBC_iptv/C10000074@JSBC
辽宁游戏竞技,http://112.86.202.37:8112/JSBC_iptv/C10000113@JSBC




上海频道,#genre#
上海新闻,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000005/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000005&IASHttpSessionId=OTT19019320240419154124000281
上海都市,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000012/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000012&IASHttpSessionId=OTT19019320240419154124000281
上海外语,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000001/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000001&IASHttpSessionId=OTT19019320240419154124000281
七彩戏剧,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000010/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000010&IASHttpSessionId=OTT19019320240419154124000281
五星体育,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000007/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000007&IASHttpSessionId=OTT19019320240419154124000281
东方影视,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000013/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000013&IASHttpSessionId=OTT19019320240419154124000281
东方财经,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000090/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000090&IASHttpSessionId=OTT19019320240419154124000281
法治天地,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000014/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000014&IASHttpSessionId=OTT19019320240419154124000281
第一财经,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000004/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000004&IASHttpSessionId=OTT19019320240419154124000281

巴黎奥运,#genre#
CCTV-5-高码,http://192.168.2.119:35455/ysptp/cctv5.m3u8
CCTV-5-HEVC,http://192.168.2.119:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5_体育,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000004794/1.m3u8
CCTV-5+_体育赛事,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000020505/1.m3u8
CCTV-16_奥林匹克,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000006000233001/1.m3u8
cctv16-高码,http://192.168.2.119:35455/ysptp/cctv16.m3u8
CCTV-16,http://192.168.2.119:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-16-4K-HEVC,http://192.168.2.119:35455/itv/5000000008000023254.m3u8?cdn=bestzb
CCTV-4K_超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8


央视ipv6,#genre#
CCTV1,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225799/index.m3u8
CCTV4,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225507/index.m3u8
CCTV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225677/index.m3u8
CCTV11,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV12,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV16,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225893/index.m3u8
CCTV17,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CGTN纪录,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000528/index.m3u8?IAS

卫视ipv6,#genre#
凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8
北京卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
东方卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
天津卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
重庆卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
龙江卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
辽宁卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
山东卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
安徽卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
湖南卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
江苏卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
浙江卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
广东卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
深圳卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
广西卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
四川卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
湖北卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
江西卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
河北卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
海南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
东南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
贵州卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
吉林卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8

浙江,#genre#
黑莓电影,http://[2409:8087:1a0b:df::4014]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
黑莓动画,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8

数字,#genre#
超级体育,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
超级电影,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
超级视剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
东北热剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
海外剧场,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
中国功夫,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
军旅剧场,http://[2409:8087:1a0b:df::4018]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
惊悚悬疑,http://[2409:8087:1a0b:df::4002]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
潮妈辣婆,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
精品体育,http://[2409:8087:1a0b:df::4004]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
精品纪录,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
家庭剧场,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
精品大剧,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
军事评论,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
明星大片,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
欢乐剧场,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8

肥羊央视,#genre#
cctv1-高码,http://192.168.2.119:35455/ysptp/cctv1.m3u8
CCTV-1,http://192.168.2.119:35455/itv/6000000001000029752.m3u8?cdn=wasusyt
CCTV-1-50-FPS,http://192.168.2.119:35455/itv/5000000004000002226.m3u8?cdn=bestzb
CCTV-1-HEVC,http://192.168.2.119:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
cctv2-高码,http://192.168.2.119:35455/ysptp/cctv2.m3u8
CCTV-2,http://192.168.2.119:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-2-50-FPS,http://192.168.2.119:35455/itv/6000000001000014161.m3u8?cdn=wasusyt
CCTV-2-HEVC,http://192.168.2.119:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
cctv3-高码,http://192.168.2.119:35455/ysptp/cctv3.m3u8
CCTV-3,http://192.168.2.119:35455/itv/6000000001000022313.m3u8?cdn=wasusyt
CCTV-3-HEVC,http://192.168.2.119:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
cctv4-高码,http://192.168.2.119:35455/ysptp/cctv4.m3u8
CCTV-4-50-FPS,http://192.168.2.119:35455/itv/5000000011000031102.m3u8?cdn=bestzb
CCTV-4-HEVC,http://192.168.2.119:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
cctv5-高码,http://192.168.2.119:35455/ysptp/cctv5.m3u8
CCTV-5,http://192.168.2.119:35455/itv/1000000005000025222.m3u8?cdn=ystenlive
CCTV-5-HEVC,http://192.168.2.119:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
cctv5p-高码,http://192.168.2.119:35455/ysptp/cctv5p.m3u8
CCTV-5+,http://192.168.2.119:35455/itv/6000000001000015875.m3u8?cdn=wasusyt
CCTV-5+-HEVC,http://192.168.2.119:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
cctv6-高码,http://192.168.2.119:35455/ysptp/cctv6.m3u8
CCTV-6,http://192.168.2.119:35455/itv/1000000001000001737.m3u8?cdn=ystenlive
CCTV-6-50-FPS,http://192.168.2.119:35455/itv/6000000001000004574.m3u8?cdn=wasusyt
CCTV-6-HEVC,http://192.168.2.119:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
cctv7-高码,http://192.168.2.119:35455/ysptp/cctv7.m3u8
CCTV-7,http://192.168.2.119:35455/itv/1000000001000024341.m3u8?cdn=ystenlive
CCTV-7-50-FPS,http://192.168.2.119:35455/itv/6000000001000009055.m3u8?cdn=wasusyt
CCTV-7-HEVC,http://192.168.2.119:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
cctv8-高码,http://192.168.2.119:35455/ysptp/cctv8.m3u8
CCTV-8,http://192.168.2.119:35455/itv/6000000001000001070.m3u8?cdn=wasusyt
CCTV-8-HEVC,http://192.168.2.119:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
cctv9-高码,http://192.168.2.119:35455/ysptp/cctv9.m3u8
CCTV-9,http://192.168.2.119:35455/itv/1000000001000014583.m3u8?cdn=ystenlive
CCTV-9-50-FPS,http://192.168.2.119:35455/itv/6000000001000032162.m3u8?cdn=wasusyt
CCTV-9-HEVC,http://192.168.2.119:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
cctv10-高码,http://192.168.2.119:35455/ysptp/cctv10.m3u8
CCTV-10,http://192.168.2.119:35455/itv/1000000001000023734.m3u8?cdn=ystenlive
CCTV-10-50-FPS,http://192.168.2.119:35455/itv/5000000004000012827.m3u8?cdn=bestzb
CCTV-10-HEVC,http://192.168.2.119:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
cctv11-高码,http://192.168.2.119:35455/ysptp/cctv11.m3u8
CCTV-11-50-FPS,http://192.168.2.119:35455/itv/5000000011000031106.m3u8?cdn=bestzb
CCTV-11-HEVC,http://192.168.2.119:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
cctv12-高码,http://192.168.2.119:35455/ysptp/cctv12.m3u8
CCTV-12,http://192.168.2.119:35455/itv/1000000001000032494.m3u8?cdn=ystenlive
CCTV-12-50-FPS,http://192.168.2.119:35455/itv/6000000001000022586.m3u8?cdn=wasusyt
CCTV-12-HEVC,http://192.168.2.119:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
cctv13-高码,http://192.168.2.119:35455/ysptp/cctv13.m3u8
CCTV-13-50-FPS,http://192.168.2.119:35455/itv/5000000011000031108.m3u8?cdn=bestzb
cctv14-高码,http://192.168.2.119:35455/ysptp/cctv14.m3u8
CCTV-14,http://192.168.2.119:35455/itv/1000000001000008170.m3u8?cdn=ystenlive
CCTV-14-50-FPS,http://192.168.2.119:35455/itv/5000000004000006673.m3u8?cdn=bestzb
CCTV-14-HEVC,http://192.168.2.119:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
cctv15-高码,http://192.168.2.119:35455/ysptp/cctv15.m3u8
CCTV-15-50-FPS,http://192.168.2.119:35455/itv/5000000011000031109.m3u8?cdn=bestzb
CCTV-15-HEVC,http://192.168.2.119:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
cctv16-高码,http://192.168.2.119:35455/ysptp/cctv16.m3u8
CCTV-16,http://192.168.2.119:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-16-4K-HEVC,http://192.168.2.119:35455/itv/5000000008000023254.m3u8?cdn=bestzb
cctv164k_10m,http://192.168.2.119:35455/ysptp/cctv4k16_10m.m3u8
cctv164k,http://192.168.2.119:35455/ysptp/cctv4k16.m3u8
cctv17-高码,http://192.168.2.119:35455/ysptp/cctv17.m3u8
CCTV-17,http://192.168.2.119:35455/itv/1000000006000268004.m3u8?cdn=ystenlive
CCTV-17-HEVC,http://192.168.2.119:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
CGTN,http://192.168.2.119:35455/itv/7745129417417101820.m3u8?cdn=hnbblive
CGTN-记录,http://192.168.2.119:35455/itv/7114647837765104058.m3u8?cdn=hnbblive
cgtnar-高码,http://192.168.2.119:35455/ysptp/cgtnar.m3u8
cgtndoc-高码,http://192.168.2.119:35455/ysptp/cgtndoc.m3u8
cgtnen-高码,http://192.168.2.119:35455/ysptp/cgtnen.m3u8
cgtnfr-高码,http://192.168.2.119:35455/ysptp/cgtnfr.m3u8
cgtnru-高码,http://192.168.2.119:35455/ysptp/cgtnru.m3u8
cgtnsp-高码,http://192.168.2.119:35455/ysptp/cgtnsp.m3u8
cctv4k_10m,http://192.168.2.119:35455/ysptp/cctv4k_10m.m3u8
cctv4k,http://192.168.2.119:35455/ysptp/cctv4k.m3u8
cctv8k_36m,http://192.168.2.119:35455/ysptp/cctv8k_36m.m3u8
cctv8k_120m,http://192.168.2.119:35455/ysptp/cctv8k_120m.m3u8
中国教育电视台-1,http://192.168.2.119:35455/itv/5000000002000002652.m3u8?cdn=bestzb
中国教育电视台-4,http://192.168.2.119:35455/itv/5000000011000031126.m3u8?cdn=bestzb

肥羊卫视,#genre#
北京卫视,http://192.168.2.119:35455/itv/6000000001000020451.m3u8?cdn=wasusyt
